style,count,avgabv
American Amber / Red Ale,0,0.02
American Amber / Red Ale,1,0.03
American Amber / Red Ale,6,0.04
American Amber / Red Ale,47,0.05
American Amber / Red Ale,16,0.06
American Amber / Red Ale,5,0.07
American Amber / Red Ale,2,0.08
American Amber / Red Ale,0,0.09
American Amber / Red Ale,0,0.1
American Blonde Ale,0,0.02
American Blonde Ale,0,0.03
American Blonde Ale,24,0.04
American Blonde Ale,34,0.05
American Blonde Ale,3,0.06
American Blonde Ale,0,0.07
American Blonde Ale,0,0.08
American Blonde Ale,0,0.09
American Blonde Ale,0,0.1
American Double / Imperial IPA,0,0.02
American Double / Imperial IPA,0,0.03
American Double / Imperial IPA,0,0.04
American Double / Imperial IPA,0,0.05
American Double / Imperial IPA,0,0.06
American Double / Imperial IPA,5,0.07
American Double / Imperial IPA,41,0.08
American Double / Imperial IPA,29,0.09
American Double / Imperial IPA,0,0.1
American IPA,0,0.02
American IPA,1,0.03
American IPA,22,0.04
American IPA,31,0.05
American IPA,144,0.06
American IPA,96,0.07
American IPA,6,0.08
American IPA,1,0.09
American IPA,0,0.1
American Pale Ale (APA),0,0.02
American Pale Ale (APA),1,0.03
American Pale Ale (APA),21,0.04
American Pale Ale (APA),97,0.05
American Pale Ale (APA),33,0.06
American Pale Ale (APA),1,0.07
American Pale Ale (APA),0,0.08
American Pale Ale (APA),0,0.09
American Pale Ale (APA),0,0.1
